1905-06,1904-05,borough,station,1906-07,1907-08,1908-09,1909-10,1910-11,1911-12,1912-13,1913-14,1914-15,1915-16,1916-17,1917-18,1918-19,1919-20,1920-21,1921-22,1922-23,1923-24,1924-25,1925-26,1926-27,1927-28,1928-29,1929-30,1930-31,1931-32,1932-33,1933-34,1934-35,1935-36,1936-37,1937-38,1938-39,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
1244683,728014,1,21,1441739,1769187,2203715,2757877,2992873,3367655,3582640,3586954,3542667,3673180,3970990,3841110,3708005,4324204,4327500,4258473,4419768,4593243,4503408,4657991,4863024,5123372,5006843,5319294,5177342,4947229,4606128,4836714,4981043,5020548,5014636,4860530,4873726,4743035,4465801,4288695,4283456,4304399,4458529,4653697,4520765,4305052,4017516,3874590,3650626,3564901,3592514,3281556,3147844,3154033,3085613,3192558,3275613,3359226,3436929,3686375,3521830,3537967,3408836,3173367,3296978,3371056,3520381,3351589,4138496,4107802,4075424,3731184,4163552,4280205,4172774,3911988,4132291,3397677,3327156,3204475,3236810,3105691,3049592,2779157,2831603,3170132,3349694,3166646,3083837,3122236,2984440,2840396,2770282,2963430,3080741,2910180,2821642,2704938,2759710,2760158,2686069,2908164,3046508,3237337
956870,604287,1,22,1280745,1600043,1877111,2296066,2476114,2857103,3301106,3374313,3356780,3460692,3744454,3561706,3484588,4240322,4305600,4211300,4191272,4321624,4236892,4394987,4485800,4808986,4805738,5095265,4940289,4610251,4246839,4179297,4296778,4286071,4200625,4004768,3956179,3809766,3506767,3528625,3682717,3854711,3990495,4698476,4893429,4640257,4267216,4176796,3929783,3670981,3577033,3376432,3235476,3307488,3128114,3065154,3213401,3437356,3484399,3608921,3558763,3617748,3493514,3182423,3327064,3280178,3424776,3200904,4816774,4754989,4688052,4228865,4397610,4315048,4127703,3772845,3677823,3348605,3368898,3271386,3262128,3129381,2994544,2842410,2879835,3076622,3104900,3034358,2848637,2972674,2932156,2773232,2777094,2907658,3045398,2962991,2871802,2732547,2771603,2755820,2714650,2852536,3048258,3200404
1702864,788365,1,23,2210048,2676797,3129325,3706957,3646913,3877325,4157845,4191795,4409500,4514557,4994628,5017445,5205715,5842390,5956600,5981700,5976396,6084900,6048004,5993801,6014780,6397071,6324949,6600700,6426300,5752162,4577920,4326557,4219288,4215643,4136706,3983395,3862203,3664534,3400156,3303859,3271312,3355098,3507512,3737189,3636459,3392318,3148578,2997992,2663367,2563864,2476922,2027021,1781747,1713957,1822607,1891470,1973754,2070601,2277148,2519381,2440156,2472027,2358679,2126095,2164566,2179307,2264142,2143218,2282868,2231290,2081841,1769247,2094801,2055499,2056685,1918543,1969460,1657163,1640582,1554238,1522751,1414395,1315491,1309323,1351074,1453711,2016306,1911048,1824624,1764577,1606613,1486200,1408709,1420407,1458567,1380894,1307008,1166339,1246648,1188935,1164622,1291879,1391103,1421194
912227,474134,1,24,1974165,3072394,3683613,4034835,3945485,4066828,4356478,4355160,4470195,4603190,4904294,4770761,4740985,5291527,5360700,5173276,5202044,5413249,5222793,5305083,5388172,5656770,5513031,5851507,5898266,5653591,5175693,5062510,5203526,5330675,5154346,5022051,4946589,4947139,4657995,4528998,4644225,4648923,4805007,5493610,5778465,5350385,4924458,4694766,4393043,4258234,4123627,3732183,3650651,3669123,3585177,3552009,3670337,3876847,4033116,4229658,4145935,4176902,4087887,3864550,3995223,4024999,4218599,4055512,4400422,4413301,4352785,4229328,4102124,4188337,4003597,3699746,3692865,3182867,3307452,3315008,3276808,3195977,3200938,3092064,2686962,3429852,3969650,3617234,3374019,3331761,3136648,2894298,2786359,2784556,2842197,2773194,2743789,2601862,2743291,2765230,2796505,3020530,3141502,3297023
1726341,1238607,1,25,2055792,2684664,3405953,3957069,3856890,4212838,4555441,4753428,4841141,5024878,5470325,5144174,5008375,5739790,5760500,5569456,5515007,5683441,5354640,5562867,5693788,6002108,5822424,6152052,6142209,5995059,4902933,4462984,4406056,4478488,4402215,4269205,4219229,4216083,3875465,3716121,3473059,3226068,3264852,3462130,3334365,3084992,2762176,2638124,2500161,2385506,2331027,2026037,1999455,1993113,1948752,1903871,2007370,2152071,2204900,2322463,2219914,2202332,2106112,1878049,1901670,1925128,2068069,1965322,3153357,2994977,2836023,2742084,2758898,2570212,2443775,2202792,2145082,1812393,1777558,1766188,1670549,1570852,1491491,1492159,1408901,1668269,1853427,1704303,1557819,1473351,1357463,1271630,1239737,1296161,1328994,1299740,1283244,1200701,1300197,1322595,1383933,1495135,1582236,1631346
1464538,767695,1,26,1230234,1701019,2181607,2635390,3074852,3785261,4164462,4361835,4497546,4705694,5191413,4844356,4620402,5189077,5306580,5345136,5340303,5456978,5044071,5312872,5395584,5667503,5388814,5638128,5656328,5485048,4313542,3906018,3813471,3786542,3645854,3526256,3533278,3460856,3145604,3045231,2927304,2846382,2911391,3074421,2942523,2682116,2400471,2310452,2160931,2046048,2005170,1778026,1748028,1746500,1688173,1678078,1834770,1967881,2045706,2190822,2133562,2211174,2202094,2017076,2093245,2160114,2319328,2184185,3154138,3073795,2989571,2872718,2862858,2757059,2649054,2476113,2418584,2214922,2181458,2154125,2081649,2026292,2011361,2024601,2003056,2277958,2052220,1927172,1839427,1821937,1718547,1630065,1632233,1734922,1814022,1784389,1728772,1635248,1739289,1808993,1818439,1889514,2100051,2180654
46773,0,1,27,954467,1799337,2551242,3379141,4063019,4995068,5747904,6133256,6490168,6967817,7633251,6789940,6409334,7116034,6968000,6632900,6485006,6785767,6810719,7531552,7655952,8102990,7946270,8254874,8315350,8746980,6179361,5141106,4993433,4955434,4732133,4472852,4342809,4389076,3884320,3763079,3836691,3797892,3973622,4159961,3856424,3595773,3093560,2912755,2738769,2584047,2473469,2250531,2210146,2181790,2120884,1950012,2067652,2242578,2414447,2531659,2541571,2633334,2569411,2356428,2426317,2493184,2663273,2553102,3509092,3355974,3302850,3458723,3026152,2877344,2535365,1587110,2492360,2099733,2100323,2072493,1951502,1951676,1916440,1838599,1603354,1775910,2424477,2158911,1988974,1997547,1863258,1711673,1631494,1666651,1677745,1615501,1500391,1420977,1445218,1384300,1350213,1424950,1559079,1640577
0,0,1,28,0,0,0,0,93344,323266,451223,546447,660036,789527,1090673,1186874,1217746,1328945,1317760,1326227,1424195,1711744,2078626,2576891,2785016,3047285,3081362,3227220,3359665,3228384,2803217,2797127,2787247,2822426,2731063,2627516,2597298,2617925,2490067,2501296,2542523,2452385,2484298,2516036,2299002,2227166,2109539,2046757,1932031,1891555,1806699,1432489,1402177,1432916,1400490,1381478,1452838,1535182,1587613,1664058,1672242,1760272,1689716,1561889,1625732,1624830,1687624,1573322,2383493,2249208,2065690,1055873,2074260,2055249,1979623,1908497,1782292,1498159,1543554,1503212,1465002,1373548,1276060,1311422,1179388,1281624,1484438,1440390,1339320,1370737,1353831,1314405,1319745,1397423,1418954,1377737,1320729,1262119,1312610,1286793,1225997,1259342,1367957,1297276
90669,0,1,29,325500,459737,496423,564823,450430,388837,615650,923785,1108500,1297810,1551122,1749346,2010705,2330205,2384300,2352500,2299300,2508103,2617191,3257610,3961421,4525782,4580152,4816249,4862970,4560620,2891975,2385920,2255928,2256567,2146833,2028155,1976056,1952099,1726387,1667309,1565875,1499797,1548908,1639173,1519332,1367841,1223546,1180034,1338859,1280724,1188409,1101404,1122105,1125412,1121662,1159362,1247372,1396925,1481437,1510961,1512506,1565020,1543996,1433935,1488332,1516728,1624234,1574869,2340886,2199188,2216004,2106243,2137188,2063127,1960114,1853761,1842760,1641264,1704150,1709922,1643924,1659438,1630549,1642767,1528065,1836121,1510136,1395297,1327996,1328345,1272852,1204357,1195164,1257890,1343766,1275123,1209929,1161880,1244122,1311015,1300566,1358841,1545876,1632851
0,0,1,30,17404,84094,163376,211547,340946,589486,882761,1107177,1215830,1430299,1765452,1533329,1480039,1699016,1818190,1740171,1678783,1742909,1828601,2209248,2580982,2821950,2852071,3013050,3142711,2872201,1889160,1452273,1395430,1352439,1271992,1223467,1185178,1169330,1049993,1018253,989461,995072,1028312,1083102,1062724,995788,882566,841110,794031,762682,731004,649103,633695,627219,649210,670113,690314,725640,749906,757089,762717,798879,785510,704136,721105,724541,807713,765552,1718352,1538374,1457342,1345126,1472796,1358164,1254963,1157726,1162327,934771,931614,886015,838961,831341,800737,771507,749350,805923,754589,715988,694470,684137,651738,593775,596647,639879,704482,694751,658468,615855,649942,630082,614901,695690,775905,778610
