borough,1938-39,1945,1935-36,1985,1915-16,1911-12,1940,1942,1972,1905-06,1921-22,1932-33,1988,1947,1997,1963,1918-19,1978,1969,1990,1953,1908-09,1995,1929-30,1961,1912-13,1970,1996,1926-27,1975,1984,1924-25,1950,1973,2005,1914-15,1931-32,1965,1933-34,1943,1907-08,1919-20,1948,1959,2006,1946,2002,1974,1957,1923-24,1954,1967,1951,1904-05,1928-29,1987,1966,2004,1909-10,1920-21,2000,1925-26,1930-31,1991,1981,1949,1910-11,1998,1976,1937-38,1962,1916-17,2001,1960,1994,1936-37,1958,station,1979,1977,1944,1956,1983,1992,1986,1952,1922-23,1913-14,1941,1968,1964,1989,2003,1934-35,1999,1917-18,1971,1980,1906-07,1982,1927-28,1955,1993
1,4873726,4458529,5020548,2686069,3673180,3367655,4743035,4288695,3166646,1244683,4258473,4606128,3237337,4520765,3397677,3521830,3708005,2963430,3520381,2831603,3592514,2203715,3204475,5319294,3436929,3582640,3351589,3327156,4863024,2984440,2760158,4503408,3874590,3083837,4107802,3542667,4947229,3408836,4836714,4283456,1769187,4324204,4305052,3275613,4138496,4653697,4163552,3122236,3085613,4593243,3281556,3296978,3650626,728014,5006843,3046508,3173367,4075424,2757877,4327500,4172774,4657991,5177342,2779157,2821642,4017516,2992873,4132291,2840396,4860530,3686375,3970990,4280205,3359226,3236810,5014636,3192558,21,3080741,2770282,4304399,3154033,2759710,3049592,2908164,3564901,4419768,3586954,4465801,3371056,3537967,3170132,3731184,4981043,3911988,3841110,3349694,2910180,1441739,2704938,5123372,3147844,3105691
1,3956179,3990495,4286071,2714650,3460692,2857103,3809766,3528625,3034358,956870,4211300,4246839,3200404,4893429,3348605,3558763,3484588,2907658,3424776,2879835,3577033,1877111,3271386,5095265,3484399,3301106,3200904,3368898,4485800,2932156,2755820,4236892,4176796,2848637,4754989,3356780,4610251,3493514,4179297,3682717,1600043,4240322,4640257,3213401,4816774,4698476,4397610,2972674,3128114,4321624,3376432,3327064,3929783,604287,4805738,3048258,3182423,4688052,2296066,4305600,4127703,4394987,4940289,2842410,2871802,4267216,2476114,3677823,2773232,4004768,3608921,3744454,4315048,3437356,3262128,4200625,3065154,22,3045398,2777094,3854711,3307488,2771603,2994544,2852536,3670981,4191272,3374313,3506767,3280178,3617748,3076622,4228865,4296778,3772845,3561706,3104900,2962991,1280745,2732547,4808986,3235476,3129381
1,3862203,3507512,4215643,1164622,4514557,3877325,3664534,3303859,1911048,1702864,5981700,4577920,1421194,3636459,1657163,2440156,5205715,1420407,2264142,1351074,2476922,3129325,1554238,6600700,2277148,4157845,2143218,1640582,6014780,1606613,1188935,6048004,2997992,1824624,2231290,4409500,5752162,2358679,4326557,3271312,2676797,5842390,3392318,1973754,2282868,3737189,2094801,1764577,1822607,6084900,2027021,2164566,2663367,788365,6324949,1391103,2126095,2081841,3706957,5956600,2056685,5993801,6426300,1309323,1307008,3148578,3646913,1969460,1486200,3983395,2519381,4994628,2055499,2070601,1522751,4136706,1891470,23,1458567,1408709,3355098,1713957,1246648,1315491,1291879,2563864,5976396,4191795,3400156,2179307,2472027,1453711,1769247,4219288,1918543,5017445,2016306,1380894,2210048,1166339,6397071,1781747,1414395
1,4946589,4805007,5330675,2796505,4603190,4066828,4947139,4528998,3617234,912227,5173276,5175693,3297023,5778465,3182867,4145935,4740985,2784556,4218599,2686962,4123627,3683613,3315008,5851507,4033116,4356478,4055512,3307452,5388172,3136648,2765230,5222793,4694766,3374019,4413301,4470195,5653591,4087887,5062510,4644225,3072394,5291527,5350385,3670337,4400422,5493610,4102124,3331761,3585177,5413249,3732183,3995223,4393043,474134,5513031,3141502,3864550,4352785,4034835,5360700,4003597,5305083,5898266,3092064,2743789,4924458,3945485,3692865,2894298,5022051,4229658,4904294,4188337,3876847,3276808,5154346,3552009,24,2842197,2786359,4648923,3669123,2743291,3200938,3020530,4258234,5202044,4355160,4657995,4024999,4176902,3429852,4229328,5203526,3699746,4770761,3969650,2773194,1974165,2601862,5656770,3650651,3195977
1,4219229,3264852,4478488,1383933,5024878,4212838,4216083,3716121,1704303,1726341,5569456,4902933,1631346,3334365,1812393,2219914,5008375,1296161,2068069,1408901,2331027,3405953,1766188,6152052,2204900,4555441,1965322,1777558,5693788,1357463,1322595,5354640,2638124,1557819,2994977,4841141,5995059,2106112,4462984,3473059,2684664,5739790,3084992,2007370,3153357,3462130,2758898,1473351,1948752,5683441,2026037,1901670,2500161,1238607,5822424,1582236,1878049,2836023,3957069,5760500,2443775,5562867,6142209,1492159,1283244,2762176,3856890,2145082,1271630,4269205,2322463,5470325,2570212,2152071,1670549,4402215,1903871,25,1328994,1239737,3226068,1993113,1300197,1491491,1495135,2385506,5515007,4753428,3875465,1925128,2202332,1668269,2742084,4406056,2202792,5144174,1853427,1299740,2055792,1200701,6002108,1999455,1570852
1,3533278,2911391,3786542,1818439,4705694,3785261,3460856,3045231,1927172,1464538,5345136,4313542,2180654,2942523,2214922,2133562,4620402,1734922,2319328,2003056,2005170,2181607,2154125,5638128,2045706,4164462,2184185,2181458,5395584,1718547,1808993,5044071,2310452,1839427,3073795,4497546,5485048,2202094,3906018,2927304,1701019,5189077,2682116,1834770,3154138,3074421,2862858,1821937,1688173,5456978,1778026,2093245,2160931,767695,5388814,2100051,2017076,2989571,2635390,5306580,2649054,5312872,5656328,2024601,1728772,2400471,3074852,2418584,1630065,3526256,2190822,5191413,2757059,1967881,2081649,3645854,1678078,26,1814022,1632233,2846382,1746500,1739289,2011361,1889514,2046048,5340303,4361835,3145604,2160114,2211174,2277958,2872718,3813471,2476113,4844356,2052220,1784389,1230234,1635248,5667503,1748028,2026292
1,4342809,3973622,4955434,1350213,6967817,4995068,4389076,3763079,2158911,46773,6632900,6179361,1640577,3856424,2099733,2541571,6409334,1666651,2663273,1603354,2473469,2551242,2072493,8254874,2414447,5747904,2553102,2100323,7655952,1863258,1384300,6810719,2912755,1988974,3355974,6490168,8746980,2569411,5141106,3836691,1799337,7116034,3595773,2067652,3509092,4159961,3026152,1997547,2120884,6785767,2250531,2426317,2738769,0,7946270,1559079,2356428,3302850,3379141,6968000,2535365,7531552,8315350,1838599,1500391,3093560,4063019,2492360,1711673,4472852,2531659,7633251,2877344,2242578,1951502,4732133,1950012,27,1677745,1631494,3797892,2181790,1445218,1916440,1424950,2584047,6485006,6133256,3884320,2493184,2633334,1775910,3458723,4993433,1587110,6789940,2424477,1615501,954467,1420977,8102990,2210146,1951676
1,2597298,2484298,2822426,1225997,789527,323266,2617925,2501296,1440390,0,1326227,2803217,1297276,2299002,1498159,1672242,1217746,1397423,1687624,1179388,1806699,0,1503212,3227220,1587613,451223,1573322,1543554,2785016,1353831,1286793,2078626,2046757,1339320,2249208,660036,3228384,1689716,2797127,2542523,0,1328945,2227166,1452838,2383493,2516036,2074260,1370737,1400490,1711744,1432489,1625732,1932031,0,3081362,1367957,1561889,2065690,0,1317760,1979623,2576891,3359665,1311422,1320729,2109539,93344,1782292,1314405,2627516,1664058,1090673,2055249,1535182,1465002,2731063,1381478,28,1418954,1319745,2452385,1432916,1312610,1276060,1259342,1891555,1424195,546447,2490067,1624830,1760272,1281624,1055873,2787247,1908497,1186874,1484438,1377737,0,1262119,3047285,1402177,1373548
1,1976056,1548908,2256567,1300566,1297810,388837,1952099,1667309,1395297,90669,2352500,2891975,1632851,1519332,1641264,1512506,2010705,1257890,1624234,1528065,1188409,496423,1709922,4816249,1481437,615650,1574869,1704150,3961421,1272852,1311015,2617191,1180034,1327996,2199188,1108500,4560620,1543996,2385920,1565875,459737,2330205,1367841,1247372,2340886,1639173,2137188,1328345,1121662,2508103,1101404,1488332,1338859,0,4580152,1545876,1433935,2216004,564823,2384300,1960114,3257610,4862970,1642767,1209929,1223546,450430,1842760,1204357,2028155,1510961,1551122,2063127,1396925,1643924,2146833,1159362,29,1343766,1195164,1499797,1125412,1244122,1630549,1358841,1280724,2299300,923785,1726387,1516728,1565020,1836121,2106243,2255928,1853761,1749346,1510136,1275123,325500,1161880,4525782,1122105,1659438
1,1185178,1028312,1352439,614901,1430299,589486,1169330,1018253,715988,0,1740171,1889160,778610,1062724,934771,762717,1480039,639879,807713,749350,731004,163376,886015,3013050,749906,882761,765552,931614,2580982,651738,630082,1828601,841110,694470,1538374,1215830,2872201,785510,1452273,989461,84094,1699016,995788,690314,1718352,1083102,1472796,684137,649210,1742909,649103,721105,794031,0,2852071,775905,704136,1457342,211547,1818190,1254963,2209248,3142711,771507,658468,882566,340946,1162327,593775,1223467,757089,1765452,1358164,725640,838961,1271992,670113,30,704482,596647,995072,627219,649942,800737,695690,762682,1678783,1107177,1049993,724541,798879,805923,1345126,1395430,1157726,1533329,754589,694751,17404,615855,2821950,633695,831341
