station,1904-05,1905-06,1906-07,1916-17,1908-09,1915-16,1917-18,1911-12,1912-13,1918-19,1929-30,1930-31,1928-29,1919-20,1926-27,1946,1925-26,1923-24,1921-22,1932-33,1933-34,1944,1942,1949,2002,2003,2000,1992,1991,1993,1990,1994,1995,1996,1976,1977,1997,1982,1984,1985,1983,1980,1981,1978,1989,1986,1979,1987,1988,1975,1974,1973,1972,1998,1971,1999,1970,1966,1968,1967,1969,1965,1963,1958,1959,1961,1960,1962,1957,1964,1956,1955,1954,2001,2004,2005,2006,1953,1952,1951,1950,1920-21,1922-23,1924-25,1914-15,1913-14,1941,1948,1934-35,1935-36,1937-38,1938-39,1936-37,1940,1931-32,1943,1945,1927-28,1947,1910-11,1909-10,1907-08,borough
22,604287,956870,1280745,3744454,1877111,3460692,3561706,2857103,3301106,3484588,5095265,4940289,4805738,4240322,4485800,4698476,4394987,4321624,4211300,4246839,4179297,3854711,3528625,4267216,4397610,4228865,4127703,2994544,2842410,3129381,2879835,3262128,3271386,3368898,2773232,2777094,3348605,2732547,2755820,2714650,2771603,2962991,2871802,2907658,3076622,2852536,3045398,3048258,3200404,2932156,2972674,2848637,3034358,3677823,3104900,3772845,3200904,3182423,3280178,3327064,3424776,3493514,3558763,3065154,3213401,3484399,3437356,3608921,3128114,3617748,3307488,3235476,3376432,4315048,4688052,4754989,4816774,3577033,3670981,3929783,4176796,4305600,4191272,4236892,3356780,3374313,3506767,4640257,4296778,4286071,4004768,3956179,4200625,3809766,4610251,3682717,3990495,4808986,4893429,2476114,2296066,1600043,1
23,788365,1702864,2210048,4994628,3129325,4514557,5017445,3877325,4157845,5205715,6600700,6426300,6324949,5842390,6014780,3737189,5993801,6084900,5981700,4577920,4326557,3355098,3303859,3148578,2094801,1769247,2056685,1315491,1309323,1414395,1351074,1522751,1554238,1640582,1486200,1408709,1657163,1166339,1188935,1164622,1246648,1380894,1307008,1420407,1453711,1291879,1458567,1391103,1421194,1606613,1764577,1824624,1911048,1969460,2016306,1918543,2143218,2126095,2179307,2164566,2264142,2358679,2440156,1891470,1973754,2277148,2070601,2519381,1822607,2472027,1713957,1781747,2027021,2055499,2081841,2231290,2282868,2476922,2563864,2663367,2997992,5956600,5976396,6048004,4409500,4191795,3400156,3392318,4219288,4215643,3983395,3862203,4136706,3664534,5752162,3271312,3507512,6397071,3636459,3646913,3706957,2676797,1
24,474134,912227,1974165,4904294,3683613,4603190,4770761,4066828,4356478,4740985,5851507,5898266,5513031,5291527,5388172,5493610,5305083,5413249,5173276,5175693,5062510,4648923,4528998,4924458,4102124,4229328,4003597,3200938,3092064,3195977,2686962,3276808,3315008,3307452,2894298,2786359,3182867,2601862,2765230,2796505,2743291,2773194,2743789,2784556,3429852,3020530,2842197,3141502,3297023,3136648,3331761,3374019,3617234,3692865,3969650,3699746,4055512,3864550,4024999,3995223,4218599,4087887,4145935,3552009,3670337,4033116,3876847,4229658,3585177,4176902,3669123,3650651,3732183,4188337,4352785,4413301,4400422,4123627,4258234,4393043,4694766,5360700,5202044,5222793,4470195,4355160,4657995,5350385,5203526,5330675,5022051,4946589,5154346,4947139,5653591,4644225,4805007,5656770,5778465,3945485,4034835,3072394,1
25,1238607,1726341,2055792,5470325,3405953,5024878,5144174,4212838,4555441,5008375,6152052,6142209,5822424,5739790,5693788,3462130,5562867,5683441,5569456,4902933,4462984,3226068,3716121,2762176,2758898,2742084,2443775,1491491,1492159,1570852,1408901,1670549,1766188,1777558,1271630,1239737,1812393,1200701,1322595,1383933,1300197,1299740,1283244,1296161,1668269,1495135,1328994,1582236,1631346,1357463,1473351,1557819,1704303,2145082,1853427,2202792,1965322,1878049,1925128,1901670,2068069,2106112,2219914,1903871,2007370,2204900,2152071,2322463,1948752,2202332,1993113,1999455,2026037,2570212,2836023,2994977,3153357,2331027,2385506,2500161,2638124,5760500,5515007,5354640,4841141,4753428,3875465,3084992,4406056,4478488,4269205,4219229,4402215,4216083,5995059,3473059,3264852,6002108,3334365,3856890,3957069,2684664,1
26,767695,1464538,1230234,5191413,2181607,4705694,4844356,3785261,4164462,4620402,5638128,5656328,5388814,5189077,5395584,3074421,5312872,5456978,5345136,4313542,3906018,2846382,3045231,2400471,2862858,2872718,2649054,2011361,2024601,2026292,2003056,2081649,2154125,2181458,1630065,1632233,2214922,1635248,1808993,1818439,1739289,1784389,1728772,1734922,2277958,1889514,1814022,2100051,2180654,1718547,1821937,1839427,1927172,2418584,2052220,2476113,2184185,2017076,2160114,2093245,2319328,2202094,2133562,1678078,1834770,2045706,1967881,2190822,1688173,2211174,1746500,1748028,1778026,2757059,2989571,3073795,3154138,2005170,2046048,2160931,2310452,5306580,5340303,5044071,4497546,4361835,3145604,2682116,3813471,3786542,3526256,3533278,3645854,3460856,5485048,2927304,2911391,5667503,2942523,3074852,2635390,1701019,1
27,0,46773,954467,7633251,2551242,6967817,6789940,4995068,5747904,6409334,8254874,8315350,7946270,7116034,7655952,4159961,7531552,6785767,6632900,6179361,5141106,3797892,3763079,3093560,3026152,3458723,2535365,1916440,1838599,1951676,1603354,1951502,2072493,2100323,1711673,1631494,2099733,1420977,1384300,1350213,1445218,1615501,1500391,1666651,1775910,1424950,1677745,1559079,1640577,1863258,1997547,1988974,2158911,2492360,2424477,1587110,2553102,2356428,2493184,2426317,2663273,2569411,2541571,1950012,2067652,2414447,2242578,2531659,2120884,2633334,2181790,2210146,2250531,2877344,3302850,3355974,3509092,2473469,2584047,2738769,2912755,6968000,6485006,6810719,6490168,6133256,3884320,3595773,4993433,4955434,4472852,4342809,4732133,4389076,8746980,3836691,3973622,8102990,3856424,4063019,3379141,1799337,1
28,0,0,0,1090673,0,789527,1186874,323266,451223,1217746,3227220,3359665,3081362,1328945,2785016,2516036,2576891,1711744,1326227,2803217,2797127,2452385,2501296,2109539,2074260,1055873,1979623,1276060,1311422,1373548,1179388,1465002,1503212,1543554,1314405,1319745,1498159,1262119,1286793,1225997,1312610,1377737,1320729,1397423,1281624,1259342,1418954,1367957,1297276,1353831,1370737,1339320,1440390,1782292,1484438,1908497,1573322,1561889,1624830,1625732,1687624,1689716,1672242,1381478,1452838,1587613,1535182,1664058,1400490,1760272,1432916,1402177,1432489,2055249,2065690,2249208,2383493,1806699,1891555,1932031,2046757,1317760,1424195,2078626,660036,546447,2490067,2227166,2787247,2822426,2627516,2597298,2731063,2617925,3228384,2542523,2484298,3047285,2299002,93344,0,0,1
29,0,90669,325500,1551122,496423,1297810,1749346,388837,615650,2010705,4816249,4862970,4580152,2330205,3961421,1639173,3257610,2508103,2352500,2891975,2385920,1499797,1667309,1223546,2137188,2106243,1960114,1630549,1642767,1659438,1528065,1643924,1709922,1704150,1204357,1195164,1641264,1161880,1311015,1300566,1244122,1275123,1209929,1257890,1836121,1358841,1343766,1545876,1632851,1272852,1328345,1327996,1395297,1842760,1510136,1853761,1574869,1433935,1516728,1488332,1624234,1543996,1512506,1159362,1247372,1481437,1396925,1510961,1121662,1565020,1125412,1122105,1101404,2063127,2216004,2199188,2340886,1188409,1280724,1338859,1180034,2384300,2299300,2617191,1108500,923785,1726387,1367841,2255928,2256567,2028155,1976056,2146833,1952099,4560620,1565875,1548908,4525782,1519332,450430,564823,459737,1
30,0,0,17404,1765452,163376,1430299,1533329,589486,882761,1480039,3013050,3142711,2852071,1699016,2580982,1083102,2209248,1742909,1740171,1889160,1452273,995072,1018253,882566,1472796,1345126,1254963,800737,771507,831341,749350,838961,886015,931614,593775,596647,934771,615855,630082,614901,649942,694751,658468,639879,805923,695690,704482,775905,778610,651738,684137,694470,715988,1162327,754589,1157726,765552,704136,724541,721105,807713,785510,762717,670113,690314,749906,725640,757089,649210,798879,627219,633695,649103,1358164,1457342,1538374,1718352,731004,762682,794031,841110,1818190,1678783,1828601,1215830,1107177,1049993,995788,1395430,1352439,1223467,1185178,1271992,1169330,2872201,989461,1028312,2821950,1062724,340946,211547,84094,1
31,0,21305,61481,351862,103701,225563,371178,109922,137492,369076,866041,815394,791875,434067,596986,362040,585761,477352,412668,462218,374418,331991,357637,254446,533069,439168,428118,319569,314733,329155,299358,344384,367440,394994,153388,151906,403307,151229,177124,167605,161568,158216,156513,157312,292716,210090,170583,247290,265767,170368,180863,180671,178579,453916,195253,430925,198365,214855,203273,214229,217642,241631,260173,219852,218157,300437,261975,293526,211064,253667,190434,179234,188634,439038,444736,449209,492357,215810,228570,229856,253013,443797,404213,524100,162824,163201,345728,317703,378672,364363,337531,374702,343774,422189,748543,339670,367319,772855,331075,106398,107005,77577,1
