station,1904-05,1905-06,1906-07,1916-17,1908-09,1915-16,1917-18,1911-12,1912-13,1918-19,1929-30,1930-31,1928-29,1919-20,1926-27,1946,1925-26,1923-24,1921-22,1932-33,1933-34,1944,1942,1949,2002,2003,2000,1992,1991,1993,1990,1994,1995,1996,1976,1977,1997,1982,1984,1985,1983,1980,1981,1978,1989,1986,1979,1987,1988,1975,1974,1973,1972,1998,1971,1999,1970,1966,1968,1967,1969,1965,1963,1958,1959,1961,1960,1962,1957,1964,1956,1955,1954,2001,2004,2005,2006,1953,1952,1951,1950,1920-21,1922-23,1924-25,1914-15,1913-14,1941,1948,1934-35,1935-36,1937-38,1938-39,1936-37,1940,1931-32,1943,1945,1927-28,1947,1910-11,1909-10,1907-08,borough
199,0,0,0,0,0,0,0,0,0,0,1960867,1935413,1910779,0,1619497,1741337,1518574,1162271,1087009,1733272,1775845,1637973,1727408,1459649,1273390,1240493,1231687,1068975,1113098,1098229,1239224,1117623,1104407,1092434,1167477,1178586,1075885,1333299,1216868,1289414,1278256,1288589,1360533,1247960,1335725,1318915,1310317,1368964,1371301,1180123,1207382,1195554,1197927,1167455,1143527,1209554,1211909,1038928,1117873,1110233,1187012,1096110,1083154,1136967,1127116,1140596,1126612,1112508,1151963,1095127,1160725,1161174,1192267,1280964,1238804,1200774,1206213,1222281,1260914,1313611,1394405,1098500,1050994,1299388,0,0,1692990,1645714,1799749,1833514,1800058,1776370,1852228,1728944,1813464,1691390,1659777,1791899,1708189,0,0,0,3
200,0,0,0,0,0,0,0,0,0,0,3445490,3385558,3180634,0,2439566,3293943,2216172,1762805,1554380,3031902,3128885,3024633,3117287,2815996,3095410,3107660,2999614,2590498,2694388,2528575,2919898,2542816,2438526,2410745,2658311,2660318,2403647,2941901,2634514,2817496,2815308,2987878,3051303,2918294,3118659,2922489,3045289,3090670,3152508,2596680,2542113,2449091,2448756,2632760,2474286,2835892,2418540,2156544,2336062,2273661,2475314,2258884,2191477,2122995,2142020,2256171,2171638,2214374,2080881,2270005,2056719,2060722,2146655,3178843,3110560,2978276,2918075,2294748,2428274,2559860,2673559,1591600,1583638,1899220,0,0,3054178,3126097,3183312,3279513,3189481,3176078,3231197,3099138,3217674,3091404,3138069,2884870,3233097,0,0,0,3
201,0,0,0,0,0,0,0,0,0,0,1458973,1585504,1313006,0,1054877,1878470,982269,928124,939353,1509750,1578231,1797130,2018723,1613731,1824562,1858568,1725075,1450602,1523188,1492190,1613566,1525378,1493731,1459467,1532751,1564134,1441203,1574903,1444572,1543844,1531073,1705157,1690671,1750152,1729968,1626514,1817447,1717387,1740589,1579939,1637916,1612363,1675181,1601824,1714557,1654456,1721514,1423790,1588285,1550651,1750206,1468370,1430043,1328648,1336554,1460693,1403755,1421423,1307467,1483696,1296615,1257159,1326668,1811033,1884798,1883445,1889691,1387546,1423403,1452752,1539924,953510,899281,944966,0,0,1982659,1811947,1707774,1860593,1926386,1901163,1917564,1981328,1565750,1912996,1829526,1204133,1886294,0,0,0,3
202,0,0,0,0,0,0,0,0,0,0,1838556,1957969,1660794,0,1071338,2111018,935198,753609,717300,1885742,2002491,2042143,2039422,1694064,1679298,1661337,1628200,1343585,1368375,1364514,1466114,1403681,1413855,1378394,1447200,1448113,1355706,1474899,1311276,1414432,1411813,1479489,1495945,1559925,1619147,1471583,1573339,1581805,1613503,1494716,1580433,1596494,1664620,1506229,1703940,1586587,1713166,1351402,1579805,1462565,1740305,1407972,1379133,1356399,1362674,1445129,1403061,1397972,1353107,1424660,1367626,1362770,1372757,1706821,1701606,1642743,1655935,1428590,1452453,1521408,1611559,713600,684919,817500,0,0,1933156,1901298,2062169,2089039,2010545,1996882,2074585,1962464,1949220,2099851,2078673,1377965,2014901,0,0,0,3
203,0,0,0,0,0,0,0,0,0,0,990013,992734,902157,0,738372,1109083,712230,611112,517020,944716,1027450,1033421,1029727,877878,961674,988829,912900,687884,700755,699058,748829,745203,736894,732685,767533,777658,736850,799500,737843,743533,776854,819965,852782,808849,814790,744451,826501,802956,831628,763942,811071,810982,809928,815508,828894,870539,829543,644508,745848,690549,825453,664261,616045,600419,591647,637609,602353,628136,581593,643467,597121,592352,598959,951213,1018882,1010994,1004062,689987,749775,779952,840304,534440,560850,675130,0,0,1011403,998106,1043410,1061217,1011473,980860,1045555,998501,963684,1036954,1087715,823577,1061219,0,0,0,3
204,0,0,0,0,0,0,0,0,0,0,1927919,1999786,1809359,0,1601243,2344546,1473919,1184050,823440,1860243,1929030,2076600,2032478,1983118,1423015,1205671,1495842,980402,1026986,1023277,1110436,1102664,1124873,1108311,1083568,1067420,1131563,999434,959286,988004,994469,1067788,1055642,1127069,1147481,1032379,1129452,1079661,1145667,1212952,1315574,1399242,1439629,1339517,1551296,1487240,1521892,1204186,1386329,1297037,1531328,1265883,1305870,1300911,1283436,1319963,1285240,1322287,1302006,1305185,1321224,1334244,1408024,1458428,1332615,1423875,1513677,1532963,1675475,1746493,1889533,450000,996006,1347976,0,0,1992378,2210429,2004584,2104437,1976300,2002994,2050621,2010146,1939776,2038855,2209286,1789853,2331153,0,0,0,3
205,0,0,0,0,0,0,0,0,0,0,3911001,3761102,3613184,0,3075519,3173876,2987993,2627868,2394900,3265486,2797887,2757870,2743461,2669778,2458950,2466764,2524013,1968558,2082479,1976395,2189266,2014810,2113437,2096839,1599654,1574090,2052899,1565068,1601649,1760729,1586329,1690062,1662614,1730248,2375645,2048697,1765492,2229525,2349903,1645773,1781141,1821589,1974611,2225302,2091054,2377927,2170323,1933926,2151202,2052836,2263414,2077281,2064719,2089665,2064986,2120393,2117799,2085610,2067824,2126720,2038491,2039179,2086717,2567916,2468024,2408194,2387925,2179789,2244073,2313450,2534669,1676700,2483277,2676893,0,0,2688167,3001077,2616140,2655496,2646963,2650078,2683415,2634642,3538732,2757613,2864756,3428052,3182158,0,0,0,3
206,0,0,0,0,0,0,0,0,0,0,2361089,2289943,2308120,0,2128328,1713466,2082104,1947990,1918971,1888078,1762471,1524565,1548653,1486191,1148760,1240083,1116147,863216,870080,877873,915582,882372,938282,896132,635516,581593,840420,528959,583813,653643,554103,561733,545302,615829,1029306,808974,613986,958712,1018497,703568,766191,830753,936706,929202,1021356,1022767,1124646,1061565,1116772,1089569,1182627,1171614,1204263,1140715,1169630,1203076,1206130,1209976,1130572,1220672,1129574,1160025,1202914,1150448,1301952,1221237,1179634,1337078,1348128,1333404,1422659,1216220,1940609,1927964,0,0,1579009,1734776,1705277,1752426,1626762,1592808,1713287,1601773,2145283,1505151,1570092,2300076,1799982,0,0,0,3
207,0,0,0,4873401,3750419,4792499,4834106,4487313,4820566,4799921,10163917,10089002,8663678,7763249,8223691,5798054,8786145,9004000,8728900,8317075,7803854,5405294,5634560,4183281,4049864,3929387,3772571,2044420,1894152,2807131,2866392,2948415,2937687,2880686,2056162,2092580,2867843,2260217,2344973,2640118,2318927,2281166,2382993,2196829,2984110,2756041,2314790,3008502,3123453,2152895,2326995,2362381,2394005,3435196,2499487,3710448,2646154,2437618,2712161,2606096,2857333,2684620,2807311,2930736,2940295,3059495,3003583,2918137,2842639,2801240,2876049,2929506,2972358,3977784,3865685,3579170,3388788,3226513,3389994,3564550,3872502,8790400,8918708,8774413,4725630,4690821,5276971,4972185,7669447,7786540,5852077,5523715,6819829,5363708,9378269,5564243,5383194,8763018,5551752,4133629,4130410,413319,3
208,0,0,0,8490204,3577479,8200665,8280764,6983615,7639520,6891555,5439836,5637594,5285282,6326061,5123148,4173113,5199680,5225914,5335862,5029942,4733894,3761725,3803903,3599032,2074237,2148501,1946302,1764193,1800681,1692119,1498692,1703632,1617362,1529556,2111819,2004807,1519358,1414684,1280758,1323861,1384946,1759641,1530127,2039800,1610117,1415273,1968332,1647638,1706956,2286773,2513288,2573721,2776609,1572982,2893001,1784620,2907555,2808097,3053660,2989958,3187569,2881374,2907333,2763248,2769596,2844402,2781511,2843742,2658791,2943916,2700445,2671447,2676421,1983805,2228525,2066277,2010615,2884107,3115533,3302967,3522265,6057339,5225366,4995225,7610026,7728747,3709879,4052559,4538947,4579714,3925649,3845975,4252507,3758091,5458659,3814690,3935931,5515321,4186202,6044714,5209521,448299,3
209,0,0,0,0,0,0,0,0,0,231372,3993187,4234155,3567758,1768781,3014703,3676224,2961730,2734142,2541900,3489093,3403406,3611290,3391503,3046447,1262932,1348826,934753,1107258,1174852,1058447,1216193,1082397,1073199,1104944,1164947,1173793,1230685,1178654,1210947,1198827,1217370,1246189,1219650,1241615,1379742,1290797,1251089,1332846,1390307,1194511,1307280,1353823,1429209,1311839,1580849,1371558,1717675,1781715,1957356,1881703,1980564,1861502,2091713,2504360,2448264,2377731,2449147,2247417,2500206,2025770,2503550,2437402,2486938,1312498,1452070,1513646,1581230,2660197,2793527,2849768,2985494,2537700,2560624,2813101,0,0,3214168,3354004,3340100,3426896,3217607,3151343,3382888,3225375,3849766,3580833,3638623,3361911,3465678,0,0,0,3
210,0,0,0,0,0,0,0,0,0,0,2455062,2577625,2180426,0,1589286,2805652,938445,0,0,2335550,2493773,3066556,3159070,2209672,1466030,1385909,1481157,1265915,1224684,1323818,1193362,1424900,1384580,1430405,1552066,1527882,1458316,1611948,1458547,1340320,1557938,1556115,1592975,1626485,1189906,1306606,1665569,1287072,1122975,1562208,1631585,1677550,1805595,1371119,2002831,1350242,2083654,2084161,2161375,2165968,2226008,2265564,1837995,1919763,1844117,1916733,1873872,1868256,1921597,1883443,1930834,1939306,1952653,1545541,1452287,1503445,1580521,2000592,2029137,2015552,2051800,0,0,0,0,0,2757523,2569029,2545958,2676311,2676068,2635520,2716111,2695073,2461424,3191159,2952424,1910666,2633367,0,0,0,3
211,0,0,0,651386,0,259985,889544,0,0,1086751,3909600,3815046,3717413,1370273,3427092,3869906,3208644,2839479,1809871,3429900,3608954,3579279,3683925,3363830,2727960,2629895,2435039,1204428,1178159,1320760,1186857,1448546,1452165,1490403,1335172,1354428,1543982,1502938,1378348,1299419,1475588,1483700,1566809,1486665,1201326,1290668,1529913,1234485,1225936,1362357,1437601,1471138,1558044,2056988,1644397,2179677,1730849,1722875,1784839,1771090,1859060,1816337,1934290,2156808,2088734,2095835,2061747,1992217,2219572,1906871,2321422,2374725,2436778,2682398,2794984,2970684,3028266,2592079,2800340,2941485,3171110,1598864,2252781,3275004,0,0,3605870,3698528,3575392,3655139,3541963,3579430,3610227,3617706,3527191,3739943,3664568,3649562,3721130,0,0,0,3
212,0,0,0,1122005,0,455493,1313703,0,0,1931223,3736202,3683235,3549399,2170610,3483632,3406691,3330096,2918950,2250016,3241770,3386262,3261297,3349039,2697288,1283316,1221606,1289358,931259,906826,987799,913518,1070220,1058738,1088965,1163333,1166517,1089362,1248489,1129066,1024886,1216568,1251857,1274424,1255410,934727,1017538,1296808,1005247,942365,1172859,1197417,1204111,1240757,1171615,1291665,1203093,1340592,1365074,1381001,1390836,1419469,1460523,1564536,1811113,1719530,1686210,1683855,1622093,1865424,1547941,1937376,1922234,1987743,1339993,1282249,1360219,1434352,2093333,2227764,2349800,2476096,2172468,2523100,3192298,0,0,3349279,3119932,3425731,3492769,3364130,3275690,3473953,3299328,3465315,3361881,3329455,3554025,3271366,0,0,0,3
213,0,0,0,1490260,0,619926,1649260,0,0,2155610,4993731,4587505,4811422,2548174,4470232,3911180,4246846,3536429,2821583,3448861,3557662,3635876,3542083,3165578,2083265,2054052,2077842,1329587,1330860,1391856,1341879,1484767,1469368,1544937,1514339,1534777,1572775,1627711,1485510,1427298,1563960,1614844,1667286,1632824,1334742,1394830,1657828,1402155,1306596,1554493,1628609,1619362,1674273,1838419,1770972,1920635,1814973,1801370,1847715,1855099,1926112,1946699,2045181,2278369,2167584,2181012,2163193,2080285,2349819,2026428,2421285,2404058,2469367,2129415,2142834,2214351,2301687,2693984,2936920,3064656,3169684,2758175,3086687,3836315,0,0,3555298,3636142,3632712,3683318,3565568,3544390,3629259,3513773,3997908,3648558,3754903,4604758,3865268,0,0,0,3
214,0,0,0,2150323,0,1675838,2701803,0,0,4073369,4922367,4664973,4655335,4370212,4726735,6231339,4681815,4562197,4116971,4098484,4073535,8188672,6942510,4801544,2778873,2725216,2637388,1580348,1659699,1630055,1701066,1726842,1743635,1812244,1527400,1489035,1874924,1566803,1597936,1659677,1614617,1557051,1569593,1563561,1796389,1643291,1616054,1677472,1820882,1620548,1689168,1822493,1904948,2228814,1972643,2379634,2135407,2076120,2281579,2015035,2270920,2285509,2553777,2799827,2737089,2642065,2645277,2602236,2944157,2451956,3102512,3107434,3302164,2753443,2938072,3221074,3527847,3739330,4183061,4345553,4420965,4238579,4254777,4653564,27797,0,5383206,5558467,3969749,4093698,4045181,4013860,4143513,4345703,4417379,8140738,7547699,4721989,5693796,0,0,0,3
215,0,0,0,2047621,0,1456381,2224511,0,0,2552452,3353000,3133880,3397752,2818518,3520901,3497387,3501199,3381114,2937373,2563551,2541705,3835338,3322398,2237871,2269061,2122863,2064803,1493513,1448212,1582544,1445452,1614122,1521547,1524925,1013461,997776,1507813,1088007,1135878,1145927,1141757,1077444,1093656,1118183,1492015,1223599,1133717,1371647,1346662,1058685,1137905,1168163,1226875,1750605,1282083,1855248,1313057,1247824,1300086,1270554,1382355,1365778,1369173,1484651,1448161,1559364,1459859,1472511,1549812,1391237,1529894,1472073,1558043,2252045,2149317,2200997,2331514,1759507,1884705,1968180,2061038,3057824,3043319,3424790,0,0,2899727,2766005,2631872,2755656,2617019,2485500,2786448,2590533,2840722,3662033,4093937,3445324,3073526,0,0,0,3
216,0,0,0,1794368,0,1193147,2188374,0,0,2638094,3062845,2921133,3148270,2797827,3309751,3122915,3223656,3222729,2917916,2423948,2515950,2897525,2941645,2318506,2115793,1977667,1982592,1305354,1268038,1340782,1303709,1427693,1389476,1412028,1085247,1032712,1442411,1052625,1115759,1138557,1110254,1033350,1074446,1077394,1329972,1157982,1076006,1210458,1191466,1168436,1233680,1224963,1275329,1669877,1319551,1784479,1361960,1309098,1432638,1377824,1464496,1406623,1421770,1493922,1442246,1544302,1486126,1499888,1587835,1411980,1603901,1644611,1728279,2112871,2033116,2120716,2192497,1920954,2018649,2046719,2137833,2984749,2982291,3238224,0,0,2814888,2864032,2528591,2689636,2522329,2516160,2638239,2592041,2662286,3041307,2970087,3284417,3045324,0,0,0,3
217,0,0,0,2088457,0,1400293,2619352,0,0,3485616,4239970,4026847,4245230,3800471,4395296,4712677,4274377,4158842,3600024,3459574,3500625,7419512,6423173,3964375,3011715,2900752,2747294,1586318,1581278,1650008,1621741,1799161,1846246,1992517,1732706,1711750,2083752,1710918,1662015,1668328,1709837,1820499,1842924,1839992,1705816,1683750,1899664,1717974,1733508,1795185,1875652,1887680,2010927,2332393,2211703,2646104,2302693,2675565,2629438,2710868,2617024,2958533,2918808,2901177,2924299,2846523,2907230,2841339,3030790,3045885,3053553,3051360,3171814,2884490,2925705,3057183,3296936,3597280,4136140,4103520,3981078,3781693,3857256,4201779,17457,0,4535179,4369752,3515912,3726716,3639048,3516180,3804967,3673615,3793354,8025481,6356068,4300036,4410724,0,0,0,3
218,0,0,0,620294,0,450269,947583,0,0,1305932,1325652,1285757,1220831,1364388,1201119,1911067,1138129,1092181,1070124,1120228,1097031,2809500,2219816,1228837,1144075,1096719,1008322,602969,567776,625988,594671,687422,738258,722401,500605,491097,730835,482710,463002,478095,470202,520226,520202,513212,598519,495287,536365,540995,555288,532525,562310,553967,606532,835456,644628,904219,672654,689085,698425,702811,733293,729669,760290,756608,754690,865466,822872,789203,807292,773860,834993,836849,894311,1073103,1115815,1130359,1150852,1004390,1143190,1141732,1086387,1223898,1072551,1109762,6158,0,1738764,1624935,1077728,1166918,1132359,1152420,1187014,1331303,1232741,2641445,2563050,1180828,1787614,0,0,0,3
219,0,0,0,1207378,0,816196,1546618,0,0,1884421,2559752,2485428,2516095,2298147,2558536,2467759,2541149,2622590,2477896,2249234,2102226,2226087,2090471,2025742,1579128,1529294,1499826,830342,806207,883393,863352,947985,997984,1018530,751908,736665,1030591,781463,767375,780885,789387,776059,790224,794745,880906,798925,795425,814463,823985,805536,837748,848071,906541,1262219,973944,1379696,999925,951971,1018918,1007759,1067911,1019732,1101670,1135162,1115932,1151420,1140011,1125100,1164662,1090654,1171568,1184480,1346697,1557172,1568481,1623274,1672368,1603497,1802072,1815191,1863776,2439537,2513768,2606124,9781,0,2168981,2392119,1980341,2022384,1826724,1795240,1971462,2011401,2431088,2169877,2279719,2535601,2539807,0,0,0,3
220,0,0,0,853593,0,625646,1239633,0,0,1657606,2341840,2168555,2301233,1926959,2322015,2809949,2215866,2210813,2036638,1967213,1861929,2411612,2470151,2135737,1595701,1579915,1537070,692584,862023,978323,947427,1065646,1105564,1120214,866647,841520,1161194,971657,968576,962900,998870,918616,972166,946983,963705,953298,960896,959653,922591,945059,1015699,1050980,1113354,1325834,1185473,1428992,1220363,1152642,1239293,1217880,1311136,1226203,1279914,1309751,1302267,1364818,1340536,1296226,1391627,1265434,1467777,1460583,1590618,1564847,1666175,1757968,1828238,1749040,1835591,1901931,1973336,1953306,2055189,2195060,9939,0,2359556,2620447,1829931,1871803,1759201,1764339,1847161,1967113,2110208,2502978,2503103,2292408,2794859,0,0,0,3
221,0,0,0,63971,0,35341,76226,0,0,93120,753802,780483,609356,108786,458031,722791,402140,207180,126317,646578,657147,715873,762022,563095,549242,564100,453685,237751,270528,237604,295533,222817,245409,243788,520169,534282,276629,519949,472922,455746,507916,565821,549791,570237,316869,380803,609488,308318,328199,553855,565404,564810,575287,322821,602737,376124,627034,665424,706220,693547,664899,681474,646446,585137,607521,651319,631807,645188,382473,673070,273462,278478,364054,504878,593182,622541,653229,411044,453623,473741,522032,60965,139067,316976,0,0,745740,621511,691582,746391,762373,751872,796578,743781,695155,753646,690928,522974,679638,0,0,0,3
222,0,0,0,265648,0,215922,323096,0,0,362602,2485270,2579784,2277589,424196,1597811,2383883,1190536,670105,431748,2264147,2267776,2256710,2187213,1816304,725513,714949,607283,241746,284427,256049,299834,275029,293259,298392,554303,551325,332043,494584,439366,415812,462361,512701,533660,557209,306980,334750,552024,300522,322402,570833,603084,639375,680837,385269,713385,475002,738876,824710,746520,836551,780658,836428,877313,938284,909367,927194,919915,910841,961553,852184,989453,1051579,1198338,690175,818888,884476,1001487,1396429,1497006,1544278,1654832,290024,517497,839704,3571,0,2032489,2091160,2256657,2271630,2078385,2037395,2494259,2019058,2400154,2286849,2239254,2005472,2273548,0,0,0,3
223,0,0,0,504266,0,498184,543076,0,0,615630,3310491,3276744,3079918,732418,2490690,3193063,2100010,1261434,882670,3037622,3050477,3067010,3064533,2434537,947550,962908,889762,500796,554554,526790,567606,566588,590735,581290,915757,893974,599001,865205,767981,728552,814820,881347,882237,906200,585881,643167,931992,568621,596946,972999,1012110,1011451,1063190,645783,1112597,745954,1159472,1215819,1241011,1267461,1220149,1280950,1314608,1461309,1432079,1398617,1410793,1350965,1463717,1311885,1483558,1523611,1655881,947757,1122387,1264067,1408418,1822031,1953842,2057567,2240720,783642,993947,1585697,8932,0,2879450,2815875,3071717,3102082,2940766,2901194,3038044,2873017,3141488,3117459,3069614,2793702,3018832,0,0,0,3
224,0,0,0,234166,0,227574,281624,0,0,335402,4330376,4352389,4103884,326442,2913760,3950185,2037381,872326,373100,4202365,4309069,3829250,3842590,2955894,1234190,1222385,1156255,726645,820308,736207,818836,758423,787806,776968,1176527,1159503,820804,1108227,1031164,1015274,1076965,1118271,1142938,1200874,836889,938157,1203588,830618,858724,1215327,1254306,1268922,1327844,871147,1400500,969343,1452650,1550729,1555634,1542698,1546646,1636440,1768406,1832726,1813948,1816016,1817477,1802383,1881303,1725487,1942579,2002041,2126114,1256959,1388714,1492866,1705404,2314296,2460682,2565720,2772455,298597,480785,1274018,4604,0,3737064,3393757,4254860,4234942,4021033,3962251,4148467,3843214,4275015,3922311,3806666,3624841,3692171,0,0,0,3
225,0,0,0,450980,0,423896,542184,0,0,615313,2478727,2445360,2420692,706674,2249856,2051289,2128591,1676637,970933,2192115,2186481,1987434,1994413,1598034,910675,879603,910483,457929,502618,478771,506270,507837,528368,538167,604468,606940,568235,592272,562633,558225,581443,589253,606499,629945,496233,524223,636994,465359,488643,625361,648274,628218,686607,687563,751415,789930,786145,826323,835631,843609,830211,924564,908130,970443,952425,964439,950985,945654,989195,888981,1019892,1048210,1108218,944065,955555,1011315,1111079,1204943,1294900,1373310,1478321,762041,1249812,1944035,8189,0,1952866,1817557,2170877,2172844,2031029,2016079,2114318,1986195,2276040,2029131,1960550,2359759,1954453,0,0,0,3
226,0,0,0,774197,0,671488,836847,0,0,926367,3925080,2966596,3746923,1107495,3129321,3647862,2782650,1846288,1395343,3666502,3707916,3414863,3483579,2984264,1117657,1109185,1025145,561032,623300,577872,621106,610454,650714,623926,1057059,1033826,648661,894190,855243,819157,881345,930175,942233,1063566,647018,746057,1035340,627982,663933,1099265,1159585,1194534,1228686,684817,1268017,814831,1311657,1336353,1375240,1381720,1395409,1358842,1566933,1657649,1648583,1648882,1643623,1614539,1696424,1514354,1760783,1833914,1965114,1156288,1243078,1311584,1491566,2161618,2394894,2582124,2789003,1197901,1567728,2215671,10320,0,3389044,3358067,3656237,3641334,3451000,3396750,3604868,3401242,3796524,3514032,3411999,3443951,3499558,0,0,0,3
227,0,0,0,817237,0,674564,839530,0,0,940453,3873734,3854846,3671776,1190243,3043715,3502395,2576491,1810849,1488075,3475911,3538225,3239452,3348589,2880223,1351000,1320534,1146251,692691,764672,724617,765068,768604,782465,775294,1060632,1054732,814629,1031341,969060,914125,992333,1011169,1064947,1089968,770197,854752,1090359,781681,798357,1078030,1112046,1121169,1173853,903793,1249168,982925,1297996,1355349,1311866,1371328,1348333,1441924,1555066,1673249,1641444,1640269,1624428,1583853,1712532,1521391,1789878,1827194,1925680,1313755,1465619,1585319,1772193,2130209,2334590,2496217,2659829,1281857,1659839,2080532,8275,0,3230125,3269126,3516897,3582840,3425442,3283972,3566646,3236081,3637289,3342075,3310185,3462962,3403078,0,0,0,3
228,0,0,0,751936,0,525655,880307,0,0,1005826,3012635,3187728,2772245,1176279,2440843,2340400,203431,1660152,1327301,2520791,2511504,2355056,2384164,1915866,2104053,2028428,1731911,849303,1003135,895607,1004195,939145,953080,967875,920302,890599,1050423,993038,1040484,1034087,1020062,912480,979117,937920,1004234,982647,973410,864129,967552,947976,954718,913545,972110,1215069,1048627,1424908,1048435,1085761,1073723,1100558,1072636,1188544,1290254,1388086,1395746,1355424,1376456,1312546,1414094,1225129,1507657,1504227,1553714,1936527,2258935,2434919,2827654,1696042,1745630,1765276,1873807,1227071,1435908,1959282,8984,0,2278545,2210608,2454814,2466159,2369349,2284698,2456428,2309618,2740754,2361012,2260097,2628215,2309991,0,0,0,3
229,0,0,0,0,0,0,173068,0,0,242065,734163,719204,720631,362568,763274,768686,735251,686262,517007,638001,638990,658869,647633,531872,681181,628364,694850,489411,466159,515918,479090,527853,532166,541946,512616,516158,554305,499498,414612,427199,462319,534242,533808,541465,488836,447972,559084,492833,477294,513893,530331,543160,560464,722811,574675,687682,585875,466496,533440,509861,595255,477994,395337,368293,357902,369389,352838,364667,313861,489160,311169,318216,333114,712530,657107,694458,728452,401121,447131,478390,513949,156304,611727,689996,0,0,604021,683746,658653,692160,659032,644576,700603,600161,660851,687205,713060,753697,741425,0,0,0,3
230,0,0,0,141617,0,0,145127,0,0,153337,1044895,1117367,917227,208747,725254,1263369,672967,468558,149613,1094373,1124094,1265119,1197942,957807,1151126,1113270,1152041,726536,675120,772455,693894,817704,815453,859148,630946,627721,845831,625171,534403,531423,583467,659363,672342,658469,635616,576108,673693,630862,602679,642334,672641,672061,687179,1081868,709489,1082593,753473,747968,782564,786372,807862,762981,787608,785693,777086,793508,779030,792971,792083,787622,766745,734908,718845,1144425,1140046,1173384,1245091,728074,759021,795728,859635,120632,363540,573099,0,0,1126399,1154645,1167760,1170023,1144147,1132678,1193771,1107145,1057963,1269703,1251670,823694,1223009,0,0,0,3
231,0,0,0,463339,0,0,662695,0,0,800456,3461546,3473301,3272322,1161548,3042185,3577053,2771417,2130457,1668214,3287534,3431348,3345579,3521627,3216866,1784148,1731566,1841170,1266915,1268002,1281106,1231878,1332216,1307135,1361144,1198123,1169126,1433385,1181129,1092575,1074850,1132482,1206768,1240282,1210152,1170149,1084479,1247812,1112567,1081363,1238653,1309800,1325514,1393511,1701120,1456862,1764721,1525818,1581825,1614829,1651247,1632129,1624690,1724829,1760185,1723787,1737024,1733740,1727291,1772206,1684220,1858668,1883744,1996116,1799643,1788560,1852812,1958327,2261837,2517664,2765280,3016796,1427055,1813242,2465399,0,0,3449805,3427051,3535732,3600036,3447030,3403012,3618136,3413011,3362515,3426330,3357936,3194020,3539938,0,0,0,3
232,0,0,0,479549,0,0,655963,0,0,746727,2412469,2364683,2347070,1076328,2359930,2182674,2326733,2090310,1591944,2141565,2176056,1991939,2022128,1889936,1241155,1151845,1273128,988171,928941,1034891,946580,1062230,1034909,1046168,893433,888009,1063326,883398,819592,805407,858984,920983,910181,934169,908703,817612,947843,849380,862587,908337,935576,941071,976879,1198356,1020342,1217529,1072211,1152017,1129102,1175921,1138053,1235789,1281083,1327790,1325839,1336259,1338378,1296036,1327562,1295729,1411154,1432249,1486621,1266071,1213529,1243817,1329709,1556544,1618793,1659185,1760647,1293410,1841167,2232041,0,0,2012102,2049878,2177449,2182007,2065870,2054909,2135136,2028747,2198634,2050699,2027155,2339744,2124105,0,0,0,3
233,0,0,0,833540,0,16742,1013979,0,0,1162665,2816239,2784908,2669037,1745998,2354126,2824954,2318729,2327143,2169799,2547183,2639062,2608680,2730336,2307779,1290562,1207981,1250669,896111,842473,981625,868512,1002784,970768,990118,864756,870840,1035422,840338,775713,740825,805007,871341,885469,901865,834855,746553,905730,777598,796343,875621,922822,946194,987777,1164072,1031562,1188188,1086926,1162290,1139779,1186283,1144276,1257384,1332481,1459222,1422282,1420989,1406826,1367192,1485568,1351043,1514111,1518789,1599174,1278318,1302602,1359862,1507994,1750220,1847485,1973680,2146898,2060498,2201612,2315435,0,0,2718200,2660220,2588781,2649541,2606979,2765718,2662700,2692475,2729206,2654031,2724362,2519062,2733724,0,0,0,3
234,0,0,0,582738,0,7253,759899,0,0,914451,4296899,4124218,4211250,1108619,4091473,3835260,3815506,2685436,1649005,3666864,3680691,3547456,3526219,2871441,1382045,1356555,1349149,746916,714249,814392,733684,889244,947633,953603,903956,881272,995873,811885,747389,717920,779672,844475,852975,914763,702682,722011,918235,733551,694576,925811,975799,981537,1022295,1178998,1075953,1223630,1149126,1249543,1220857,1275808,1240914,1342268,1430672,1632700,1577189,1561928,1558410,1492107,1655889,1404378,1732689,1766319,1862149,1377616,1471249,1525320,1628384,2190222,2442386,2565691,2692648,1257294,2054526,3458087,0,0,3460958,3403050,3707811,3744756,3580703,3526670,3720135,3420786,3881104,3589828,3647087,4207940,3702705,0,0,0,3
235,0,0,0,785476,0,7211,977295,0,0,1125501,2852710,2761648,2885517,1434376,2759852,2465178,2407976,2039393,1698694,2394522,2466477,2253511,2381274,1931075,1215420,1131547,1267675,871607,763147,969839,815766,1043562,1019821,1091192,669523,654508,1113128,656538,572411,565405,613216,687645,686761,687692,759923,614049,704455,710433,713325,710726,752639,762264,796654,1231497,856111,1219631,906969,975536,963811,1003651,967155,1046519,1092441,1215803,1163561,1153825,1142773,1129665,1188419,1093075,1280023,1286869,1352353,1222810,1149641,1153575,1238499,1458490,1511086,1596738,1745032,1617560,1792742,2207041,0,0,2322931,2288986,2465277,2504592,2372039,2374950,2500634,2379862,2548815,2344597,2328585,2873916,2412305,0,0,0,3
