1927-28,1967,1943,1949,1952,1985,1911-12,1915-16,1908-09,1904-05,1938-39,1912-13,1975,1974,1946,1926-27,1999,1948,1906-07,1947,1930-31,1934-35,1956,1920-21,1941,1981,borough,1933-34,1988,1984,1936-37,1960,1937-38,1978,1989,2005,1905-06,1998,1970,1986,1954,1951,1964,1996,1919-20,1922-23,1955,station,1993,2000,1991,1980,1969,1958,2003,1907-08,1924-25,1945,1972,1965,1968,1957,1971,1987,1992,1976,1910-11,1997,1917-18,2006,1935-36,1923-24,1950,1962,1979,1916-17,1913-14,1963,2004,1929-30,1961,2002,1944,1982,1925-26,1932-33,1994,1940,1990,1966,1953,1942,2001,1918-19,1995,1973,1931-32,1921-22,1959,1928-29,1977,1909-10,1983,1914-15
5123372,3296978,4283456,4017516,3564901,2686069,3367655,3673180,2203715,728014,4873726,3582640,2984440,3122236,4653697,4863024,3911988,4305052,1441739,4520765,5177342,4981043,3154033,4327500,4465801,2821642,1,4836714,3237337,2760158,5014636,3359226,4860530,2963430,3170132,4107802,1244683,4132291,3351589,2908164,3281556,3650626,3537967,3327156,4324204,4419768,3147844,21,3105691,4172774,2779157,2910180,3520381,3192558,3731184,1769187,4503408,4458529,3166646,3408836,3371056,3085613,3349694,3046508,3049592,2840396,2992873,3397677,3841110,4138496,5020548,4593243,3874590,3686375,3080741,3970990,3586954,3521830,4075424,5319294,3436929,4163552,4304399,2704938,4657991,4606128,3236810,4743035,2831603,3173367,3592514,4288695,4280205,3708005,3204475,3083837,4947229,4258473,3275613,5006843,2770282,2757877,2759710,3542667
4808986,3327064,3682717,4267216,3670981,2714650,2857103,3460692,1877111,604287,3956179,3301106,2932156,2972674,4698476,4485800,3772845,4640257,1280745,4893429,4940289,4296778,3307488,4305600,3506767,2871802,1,4179297,3200404,2755820,4200625,3437356,4004768,2907658,3076622,4754989,956870,3677823,3200904,2852536,3376432,3929783,3617748,3368898,4240322,4191272,3235476,22,3129381,4127703,2842410,2962991,3424776,3065154,4228865,1600043,4236892,3990495,3034358,3493514,3280178,3128114,3104900,3048258,2994544,2773232,2476114,3348605,3561706,4816774,4286071,4321624,4176796,3608921,3045398,3744454,3374313,3558763,4688052,5095265,3484399,4397610,3854711,2732547,4394987,4246839,3262128,3809766,2879835,3182423,3577033,3528625,4315048,3484588,3271386,2848637,4610251,4211300,3213401,4805738,2777094,2296066,2771603,3356780
6397071,2164566,3271312,3148578,2563864,1164622,3877325,4514557,3129325,788365,3862203,4157845,1606613,1764577,3737189,6014780,1918543,3392318,2210048,3636459,6426300,4219288,1713957,5956600,3400156,1307008,1,4326557,1421194,1188935,4136706,2070601,3983395,1420407,1453711,2231290,1702864,1969460,2143218,1291879,2027021,2663367,2472027,1640582,5842390,5976396,1781747,23,1414395,2056685,1309323,1380894,2264142,1891470,1769247,2676797,6048004,3507512,1911048,2358679,2179307,1822607,2016306,1391103,1315491,1486200,3646913,1657163,5017445,2282868,4215643,6084900,2997992,2519381,1458567,4994628,4191795,2440156,2081841,6600700,2277148,2094801,3355098,1166339,5993801,4577920,1522751,3664534,1351074,2126095,2476922,3303859,2055499,5205715,1554238,1824624,5752162,5981700,1973754,6324949,1408709,3706957,1246648,4409500
5656770,3995223,4644225,4924458,4258234,2796505,4066828,4603190,3683613,474134,4946589,4356478,3136648,3331761,5493610,5388172,3699746,5350385,1974165,5778465,5898266,5203526,3669123,5360700,4657995,2743789,1,5062510,3297023,2765230,5154346,3876847,5022051,2784556,3429852,4413301,912227,3692865,4055512,3020530,3732183,4393043,4176902,3307452,5291527,5202044,3650651,24,3195977,4003597,3092064,2773194,4218599,3552009,4229328,3072394,5222793,4805007,3617234,4087887,4024999,3585177,3969650,3141502,3200938,2894298,3945485,3182867,4770761,4400422,5330675,5413249,4694766,4229658,2842197,4904294,4355160,4145935,4352785,5851507,4033116,4102124,4648923,2601862,5305083,5175693,3276808,4947139,2686962,3864550,4123627,4528998,4188337,4740985,3315008,3374019,5653591,5173276,3670337,5513031,2786359,4034835,2743291,4470195
6002108,1901670,3473059,2762176,2385506,1383933,4212838,5024878,3405953,1238607,4219229,4555441,1357463,1473351,3462130,5693788,2202792,3084992,2055792,3334365,6142209,4406056,1993113,5760500,3875465,1283244,1,4462984,1631346,1322595,4402215,2152071,4269205,1296161,1668269,2994977,1726341,2145082,1965322,1495135,2026037,2500161,2202332,1777558,5739790,5515007,1999455,25,1570852,2443775,1492159,1299740,2068069,1903871,2742084,2684664,5354640,3264852,1704303,2106112,1925128,1948752,1853427,1582236,1491491,1271630,3856890,1812393,5144174,3153357,4478488,5683441,2638124,2322463,1328994,5470325,4753428,2219914,2836023,6152052,2204900,2758898,3226068,1200701,5562867,4902933,1670549,4216083,1408901,1878049,2331027,3716121,2570212,5008375,1766188,1557819,5995059,5569456,2007370,5822424,1239737,3957069,1300197,4841141
5667503,2093245,2927304,2400471,2046048,1818439,3785261,4705694,2181607,767695,3533278,4164462,1718547,1821937,3074421,5395584,2476113,2682116,1230234,2942523,5656328,3813471,1746500,5306580,3145604,1728772,1,3906018,2180654,1808993,3645854,1967881,3526256,1734922,2277958,3073795,1464538,2418584,2184185,1889514,1778026,2160931,2211174,2181458,5189077,5340303,1748028,26,2026292,2649054,2024601,1784389,2319328,1678078,2872718,1701019,5044071,2911391,1927172,2202094,2160114,1688173,2052220,2100051,2011361,1630065,3074852,2214922,4844356,3154138,3786542,5456978,2310452,2190822,1814022,5191413,4361835,2133562,2989571,5638128,2045706,2862858,2846382,1635248,5312872,4313542,2081649,3460856,2003056,2017076,2005170,3045231,2757059,4620402,2154125,1839427,5485048,5345136,1834770,5388814,1632233,2635390,1739289,4497546
8102990,2426317,3836691,3093560,2584047,1350213,4995068,6967817,2551242,0,4342809,5747904,1863258,1997547,4159961,7655952,1587110,3595773,954467,3856424,8315350,4993433,2181790,6968000,3884320,1500391,1,5141106,1640577,1384300,4732133,2242578,4472852,1666651,1775910,3355974,46773,2492360,2553102,1424950,2250531,2738769,2633334,2100323,7116034,6485006,2210146,27,1951676,2535365,1838599,1615501,2663273,1950012,3458723,1799337,6810719,3973622,2158911,2569411,2493184,2120884,2424477,1559079,1916440,1711673,4063019,2099733,6789940,3509092,4955434,6785767,2912755,2531659,1677745,7633251,6133256,2541571,3302850,8254874,2414447,3026152,3797892,1420977,7531552,6179361,1951502,4389076,1603354,2356428,2473469,3763079,2877344,6409334,2072493,1988974,8746980,6632900,2067652,7946270,1631494,3379141,1445218,6490168
3047285,1625732,2542523,2109539,1891555,1225997,323266,789527,0,0,2597298,451223,1353831,1370737,2516036,2785016,1908497,2227166,0,2299002,3359665,2787247,1432916,1317760,2490067,1320729,1,2797127,1297276,1286793,2731063,1535182,2627516,1397423,1281624,2249208,0,1782292,1573322,1259342,1432489,1932031,1760272,1543554,1328945,1424195,1402177,28,1373548,1979623,1311422,1377737,1687624,1381478,1055873,0,2078626,2484298,1440390,1689716,1624830,1400490,1484438,1367957,1276060,1314405,93344,1498159,1186874,2383493,2822426,1711744,2046757,1664058,1418954,1090673,546447,1672242,2065690,3227220,1587613,2074260,2452385,1262119,2576891,2803217,1465002,2617925,1179388,1561889,1806699,2501296,2055249,1217746,1503212,1339320,3228384,1326227,1452838,3081362,1319745,0,1312610,660036
4525782,1488332,1565875,1223546,1280724,1300566,388837,1297810,496423,0,1976056,615650,1272852,1328345,1639173,3961421,1853761,1367841,325500,1519332,4862970,2255928,1125412,2384300,1726387,1209929,1,2385920,1632851,1311015,2146833,1396925,2028155,1257890,1836121,2199188,90669,1842760,1574869,1358841,1101404,1338859,1565020,1704150,2330205,2299300,1122105,29,1659438,1960114,1642767,1275123,1624234,1159362,2106243,459737,2617191,1548908,1395297,1543996,1516728,1121662,1510136,1545876,1630549,1204357,450430,1641264,1749346,2340886,2256567,2508103,1180034,1510961,1343766,1551122,923785,1512506,2216004,4816249,1481437,2137188,1499797,1161880,3257610,2891975,1643924,1952099,1528065,1433935,1188409,1667309,2063127,2010705,1709922,1327996,4560620,2352500,1247372,4580152,1195164,564823,1244122,1108500
2821950,721105,989461,882566,762682,614901,589486,1430299,163376,0,1185178,882761,651738,684137,1083102,2580982,1157726,995788,17404,1062724,3142711,1395430,627219,1818190,1049993,658468,1,1452273,778610,630082,1271992,725640,1223467,639879,805923,1538374,0,1162327,765552,695690,649103,794031,798879,931614,1699016,1678783,633695,30,831341,1254963,771507,694751,807713,670113,1345126,84094,1828601,1028312,715988,785510,724541,649210,754589,775905,800737,593775,340946,934771,1533329,1718352,1352439,1742909,841110,757089,704482,1765452,1107177,762717,1457342,3013050,749906,1472796,995072,615855,2209248,1889160,838961,1169330,749350,704136,731004,1018253,1358164,1480039,886015,694470,2872201,1740171,690314,2852071,596647,211547,649942,1215830
